href,Time,Type,Map,Score,Rated
/game/8501959,2023-01-15 23:32:54,ca,hiddenfortress,10:2,A
/game/8501935,2023-01-15 23:19:43,ca,campgrounds,3:10,A
/game/8501911,2023-01-15 23:06:54,ca,overek,6:10,A
/game/8501882,2023-01-15 22:52:43,ca,almostlost,3:10,A
/game/8501864,2023-01-15 22:42:42,ca,servitude,8:10,A
/game/8501834,2023-01-15 22:25:24,ca,quarantine,3:10,A
/game/8501806,2023-01-15 22:11:35,ca,trinity,8:10,A
/game/8501779,2023-01-15 21:54:44,ca,ra3map17c,8:10,B
/game/8501758,2023-01-15 21:43:15,ca,campgrounds,10:3,A
/game/8501728,2023-01-15 21:29:36,ca,asylum,10:9,B
